
                            Radial Profiles
                            ---------------

                          Partial Pressures, kPa
  J  dist,m   temp,K   CO2     H2O     CH4     CO      O2      N2        FV
  1   1.0000  1000.   7.500  15.600   0.000   0.000   0.000  77.000 0.0000E+00
wall             0.

 Total directional radiated energy flux =0.513236E+04 Watts/m-2/strad

 
        Spectral Intensity Distribution, Watts/m-2/micron/strad
        -------------------------------------------------------

  micron    intensity      tau        micron    intensity      tau
   5.556   0.7324E+03    0.5988      133.333   0.5372E-02    0.7834
   5.634   0.7286E+03    0.5883      142.857   0.3791E-02    0.7993
   5.714   0.7277E+03    0.5755      153.846   0.2582E-02    0.8168
   5.797   0.7479E+03    0.5492      166.667   0.1682E-02    0.8362
   5.882   0.6735E+03    0.5801      181.818   0.1032E-02    0.8582
   5.970   0.5559E+03    0.6412      200.000   0.5809E-03    0.8836



The effective absorption coef. is 0.334619E+00/m
The Planck-mean absorption coef. is 0.290665E+01/m
The wall-incident mean is 0.290665E+01/m






                            Radial Profiles
                            ---------------

                          Partial Pressures, kPa
  J  dist,m   temp,K   CO2     H2O     CH4     CO      O2      N2        FV
  1   1.0000  1000.   7.500  15.600   0.000   0.000   0.000  77.000 0.0000E+00
wall             0.

 Total directional radiated energy flux =0.125184E+04 Watts/m-2/strad

 
        Spectral Intensity Distribution, Watts/m-2/micron/strad
        -------------------------------------------------------

  micron    intensity      tau        micron    intensity      tau
   3.339   0.1085E+03    0.9723        4.008   0.5337E+01    0.9984
   3.367   0.9697E+02    0.9751        4.049   0.6130E+01    0.9981
   3.396   0.8553E+02    0.9779        4.090   0.7178E+01    0.9977
   3.425   0.6933E+02    0.9820        4.132   0.8308E+01    0.9974
   3.454   0.5894E+02    0.9846        4.175   0.2151E+04    0.3038
   3.484   0.4918E+02    0.9870        4.219   0.3041E+04    0.0006
   3.515   0.4178E+02    0.9889        4.264   0.2995E+04    0.0000
   3.546   0.3564E+02    0.9905        4.310   0.2947E+04    0.0000
   3.578   0.2868E+02    0.9923        4.357   0.2897E+04    0.0000
   3.610   0.2096E+02    0.9943        4.405   0.2847E+04    0.0000
   3.643   0.1498E+02    0.9959        4.454   0.2793E+04    0.0012
   3.676   0.1314E+02    0.9964        4.505   0.2490E+04    0.0932
   3.711   0.1080E+02    0.9970        4.556   0.1262E+04    0.5315
   3.745   0.7920E+01    0.9978        4.608   0.4181E+03    0.8417
   3.781   0.6793E+01    0.9981        4.662   0.2144E+03    0.9172
   3.817   0.5574E+01    0.9984        4.717   0.2115E+03    0.9166
   3.854   0.5368E+01    0.9984        4.773   0.2523E+03    0.8983
   3.891   0.5338E+01    0.9984        4.831   0.2964E+03    0.8778
   3.929   0.5280E+01    0.9984        4.890   0.3505E+03    0.8522
   3.968   0.5131E+01    0.9985        4.950   0.3933E+03    0.8302



The effective absorption coef. is 0.718888E-01/m
The Planck-mean absorption coef. is 0.199213E+01/m
The wall-incident mean is 0.199213E+01/m





